source_book_id,title,author,category,subcategory,source_url,intro,tags_json,favorites_count,views_proxy,word_count,status,updated_at,first_day_v,first_day_favorites,first_day_flowers,first_day_reward,first_day_rating,first_day_reviews,first_day_words_k,best_rank,worst_rank,total_times
1290407,双航海：没有对比就没有伤害,白越光著,同人小说,动漫同人,https://b.faloo.com/1290407.html,分类:同人小说；二级:动漫同人；来源:excel,"{""sourceBookId"":1290407,""inXls"":true,""xlsCreatedAt"":""2023-03-08 00:00:00"",""firstRankDate"":""2023-03-17 00:00:00"",""lastRankDate"":""2023-04-01 00:00:00""}",0,0,0,published,,,,10237,688,95,20,25.0,10,49,17
1290439,战忽局画大饼？反手掏出天基炮！,麻辣咸鱼,军事历史,现代战争,https://b.faloo.com/1290439.html,分类:军事历史；二级:现代战争；来源:excel,"{""sourceBookId"":1290439,""inXls"":true,""xlsCreatedAt"":""2023-03-08 00:00:00"",""firstRankDate"":""2023-03-27 00:00:00"",""lastRankDate"":""2023-04-30 00:00:00""}",0,0,0,published,,,,2514,0,0,5,21.0,3,48,12
1290731,全民末日：我，病毒君王,鬼神阎罗,玄幻奇幻,东方玄幻,https://b.faloo.com/1290731.html,分类:玄幻奇幻；二级:东方玄幻；来源:excel,"{""sourceBookId"":1290731,""inXls"":true,""xlsCreatedAt"":""2023-03-09 00:00:00"",""firstRankDate"":""2023-04-16 00:00:00"",""lastRankDate"":""2024-04-11 00:00:00""}",0,0,0,published,,,,1357,0,84,8,16.0,4,47,42
1290885,双顶上战争：越对比，战国越崩溃,皇帝的新书,同人小说,动漫同人,https://b.faloo.com/1290885.html,分类:同人小说；二级:动漫同人；来源:excel,"{""sourceBookId"":1290885,""inXls"":true,""xlsCreatedAt"":""2023-03-09 00:00:00"",""firstRankDate"":""2023-03-19 00:00:00"",""lastRankDate"":""2023-03-24 00:00:00""}",0,0,0,published,,,,8775,1088,94,21,23.0,25,45,6
1290947,让你扶贫，你挪界碑开疆扩土,有酒就行1,都市言情,都市生活,https://b.faloo.com/1290947.html,分类:都市言情；二级:都市生活；来源:excel,"{""sourceBookId"":1290947,""inXls"":true,""xlsCreatedAt"":""2023-03-09 00:00:00"",""firstRankDate"":""2023-03-22 00:00:00"",""lastRankDate"":""2023-03-27 00:00:00""}",0,0,0,published,,,,9608,100,92,11,17.0,22,39,3
1291058,诡异复苏：我的技能有自己的想法,见习忍者,恐怖灵异,恐怖惊悚,https://b.faloo.com/1291058.html,分类:恐怖灵异；二级:恐怖惊悚；来源:excel,"{""sourceBookId"":1291058,""inXls"":true,""xlsCreatedAt"":""2023-03-10 00:00:00"",""firstRankDate"":""2023-04-09 00:00:00"",""lastRankDate"":""2023-06-08 00:00:00""}",0,0,0,published,,,,660,100,104,3,15.0,5,49,72
1291099,让你直播才艺，你惊动警察叔叔？,十六亿,都市言情,都市异能,https://b.faloo.com/1291099.html,分类:都市言情；二级:都市异能；来源:excel,"{""sourceBookId"":1291099,""inXls"":true,""xlsCreatedAt"":""2023-03-10 00:00:00"",""firstRankDate"":""2023-04-22 00:00:00"",""lastRankDate"":""2023-04-24 00:00:00""}",0,0,0,published,,,,247,0,0,2,15.0,6,35,3
1291186,娱乐：我主打一个真实，气哭热芭,做个梦应该不难,都市言情,浪漫言情,https://b.faloo.com/1291186.html,分类:都市言情；二级:浪漫言情；来源:excel,"{""sourceBookId"":1291186,""inXls"":true,""xlsCreatedAt"":""2023-03-10 00:00:00"",""firstRankDate"":""2023-03-23 00:00:00"",""lastRankDate"":""2023-05-01 00:00:00""}",0,0,0,published,,,,330,100,0,2,18.0,4,47,53
1291227,领主：多子多福，打造神灵家族,超电磁炮,玄幻奇幻,异世大陆,https://b.faloo.com/1291227.html,分类:玄幻奇幻；二级:异世大陆；来源:excel,"{""sourceBookId"":1291227,""inXls"":true,""xlsCreatedAt"":""2023-03-10 00:00:00"",""firstRankDate"":""2023-04-16 00:00:00"",""lastRankDate"":""2023-07-24 00:00:00""}",0,0,0,published,,,,1862,0,0,8,16.0,20,49,74
1291391,娱乐：和热芭玩密室，你请开锁匠,蚊子没翅膀,都市言情,都市生活,https://b.faloo.com/1291391.html,分类:都市言情；二级:都市生活；来源:excel,"{""sourceBookId"":1291391,""inXls"":true,""xlsCreatedAt"":""2023-03-10 00:00:00"",""firstRankDate"":""2023-03-24 00:00:00"",""lastRankDate"":""2023-04-18 00:00:00""}",0,0,0,published,,,,22326,1176,148,4,16.0,2,48,39
1291400,娱乐：最狂歌手，谁能翻唱我的歌,登天雀,都市言情,都市生活,https://b.faloo.com/1291400.html,分类:都市言情；二级:都市生活；来源:excel,"{""sourceBookId"":1291400,""inXls"":true,""xlsCreatedAt"":""2023-03-10 00:00:00"",""firstRankDate"":""2023-03-28 00:00:00"",""lastRankDate"":""2023-04-14 00:00:00""}",0,0,0,published,,,,605,0,59,2,18.0,4,47,22
1291502,双大唐对比：没有对比就没有伤害,一支花,军事历史,架空历史,https://b.faloo.com/1291502.html,分类:军事历史；二级:架空历史；来源:excel,"{""sourceBookId"":1291502,""inXls"":true,""xlsCreatedAt"":""2023-03-11 00:00:00"",""firstRankDate"":""2023-03-20 00:00:00"",""lastRankDate"":""2023-04-04 00:00:00""}",0,0,0,published,,,,268,0,0,9,20.0,15,42,15
1291704,天师大婚：道教婚书，火爆全网！,狗娃豹子头,都市言情,都市异能,https://b.faloo.com/1291704.html,分类:都市言情；二级:都市异能；来源:excel,"{""sourceBookId"":1291704,""inXls"":true,""xlsCreatedAt"":""2023-03-11 00:00:00"",""firstRankDate"":""2023-03-28 00:00:00"",""lastRankDate"":""2023-09-19 00:00:00""}",0,0,0,published,,,,502,0,59,5,10.0,2,44,42
